id;movement_date;type;amount;description;external_reference
1;2025-10-23T06:02:21;COMMISSION;11377.95;pants;inasmuch
2;2025-10-23T03:07:53;CHARGE;12447.11;at;bah destock
3;2025-10-23T08:31:04;COMMISSION;25200.8;meanwhile madly so;until
4;2025-10-23T16:21:20;PAYMENT;19579.9;certainly only chapel;boastfully list
5;2025-10-23T11:58:19;INSTALLMENT;29544.37;hydrant repentant twin;finally whereas across
6;2025-10-23T00:40:00;COMMISSION;4079.45;apologise cumbersome successfully;after drug final
7;2025-10-23T03:22:27;INTEREST;22641.25;jubilantly other although;even duh birdbath
8;2025-10-23T16:33:52;INTEREST;31441.41;intellect factorize gorgeous;than graduate
9;2025-10-23T21:46:04;PAYMENT;7055.64;as;or regularly nucleotidase
10;2025-10-23T04:54:46;CHARGE;16391.69;yum whoa;label
