id;name;description;type;interest_rate;max_term_years
1;whoa;../fake-data/blob/hipster.txt;PERSONAL;18877.57;19005
2;well-documented;../fake-data/blob/hipster.txt;PERSONAL;1968.5;8614
3;machine illustrious;../fake-data/blob/hipster.txt;CREDIT_CARD;30301.17;28315
4;lest;../fake-data/blob/hipster.txt;CREDIT_CARD;7674.41;4681
5;sticker really;../fake-data/blob/hipster.txt;CREDIT_CARD;31227.12;779
6;artistic;../fake-data/blob/hipster.txt;REVOLVING;23413.83;10327
7;atop;../fake-data/blob/hipster.txt;CREDIT_CARD;65.18;32079
8;sediment ah;../fake-data/blob/hipster.txt;CREDIT_CARD;13018.85;14947
9;impanel;../fake-data/blob/hipster.txt;MORTGAGE;32007.34;11085
10;scar jacket;../fake-data/blob/hipster.txt;REVOLVING;5647.41;13947
