id;loan_number;opening_date;principal_amount;outstanding_balance;status;closing_date
1;ick;2025-10-23T13:24:33;6088.94;31207.64;PAID;2025-10-23T09:41:39
2;carelessly since;2025-10-23T20:40:06;21800.94;16911.33;ACTIVE;2025-10-22T23:12:53
3;near although eek;2025-10-23T05:52:28;16603.04;8553.38;OVERDUE;2025-10-23T03:29:30
4;term;2025-10-23T01:32:43;4969;32263.51;CANCELLED;2025-10-23T18:15:07
5;within;2025-10-23T13:40:03;10897.24;24149.31;PAID;2025-10-23T14:03:02
6;house till unimpressively;2025-10-23T11:34:27;4627.6;24102.6;PAID;2025-10-23T02:35:07
7;spanish whoa;2025-10-23T03:21:00;19040.08;15821.45;ACTIVE;2025-10-23T18:43:47
8;descent;2025-10-23T07:01:20;5168.91;28848.04;OVERDUE;2025-10-23T13:33:40
9;ah strident;2025-10-23T15:08:17;25393.11;521.16;COLLECTIONS;2025-10-23T16:06:52
10;barring hence;2025-10-23T10:15:42;32025.64;26015.98;ACTIVE;2025-10-23T07:27:10
